age,gender,country,level_education,job,programming_experience,programming_languages,programming_language_learning_first,computing_platform,used_TPU,used_ml_methods,primary_tool_analyze_data,salary
30-34,Man,India,I prefer not to answer,Data Scientist,3-5 years,Python,R,A laptop,Never,3-4 years,Other,"25,000-29,999"
30-34,Man,United States of America,Master’s degree,Data Scientist,5-10 years,Python,Python,"A deep learning workstation (NVIDIA GTX, LambdaLabs, etc)",Never,2-3 years,"Local development environments (RStudio, JupyterLab, etc.)","100,000-124,999"
30-34,Woman,United States of America,Master’s degree,Data Scientist,5-10 years,Python,SQL,A laptop,Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)","125,000-149,999"
30-34,Woman,Russia,Master’s degree,Data Scientist,1-3 years,Python,SQL,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)","3,000-3,999"
30-34,Man,Belgium,Master’s degree,Data Scientist,3-5 years,Python,Python,A laptop,Never,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","125,000-149,999"
30-34,Man,United States of America,Some college/university study without earning a bachelor’s degree,Data Scientist,10-20 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",More than 25 times,5-10 years,"Local development environments (RStudio, JupyterLab, etc.)",">$1,000,000"
30-34,Man,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,1-3 years,Python,Python,A laptop,Once,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","60,000-69,999"
30-34,Man,Argentina,Master’s degree,Data Scientist,5-10 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Never,4-5 years,Other,"25,000-29,999"
30-34,Man,South Africa,Bachelor’s degree,Data Scientist,3-5 years,Python,Python,A laptop,Never,2-3 years,"Advanced statistical software (SPSS, SAS, etc.)","40,000-49,999"
30-34,Man,India,Master’s degree,Data Scientist,5-10 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",2-5 times,3-4 years,"Advanced statistical software (SPSS, SAS, etc.)","25,000-29,999"
30-34,Woman,Poland,Master’s degree,Data Scientist,10-20 years,Python,Python,A laptop,2-5 times,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","25,000-29,999"
30-34,Man,France,Master’s degree,Data Scientist,5-10 years,Python,SQL,A laptop,Never,2-3 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","50,000-59,999"
30-34,Woman,India,Bachelor’s degree,Data Scientist,3-5 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",2-5 times,2-3 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","4,000-4,999"
30-34,Man,Russia,Master’s degree,Data Scientist,5-10 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Once,4-5 years,"Local development environments (RStudio, JupyterLab, etc.)","50,000-59,999"
30-34,Man,United States of America,Master’s degree,Data Scientist,5-10 years,Python,Python,A laptop,Never,3-4 years,"Local development environments (RStudio, JupyterLab, etc.)","200,000-249,999"
30-34,Man,India,Doctoral degree,Data Scientist,5-10 years,Python,Python,A personal computer / desktop,6-25 times,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","10,000-14,999"
30-34,Man,Greece,Master’s degree,Data Scientist,5-10 years,Python,SQL,A laptop,6-25 times,5-10 years,"Local development environments (RStudio, JupyterLab, etc.)","100,000-124,999"
30-34,Woman,United States of America,Master’s degree,Data Scientist,10-20 years,Python,R,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Never,3-4 years,"Local development environments (RStudio, JupyterLab, etc.)","100,000-124,999"
30-34,Man,India,Master’s degree,Data Scientist,5-10 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Never,5-10 years,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","70,000-79,999"
30-34,Man,Spain,Master’s degree,Data Scientist,5-10 years,Python,SQL,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",2-5 times,5-10 years,"Local development environments (RStudio, JupyterLab, etc.)","50,000-59,999"
30-34,Man,Brazil,Master’s degree,Data Scientist,1-3 years,Python,Python,A personal computer / desktop,Once,2-3 years,"Local development environments (RStudio, JupyterLab, etc.)","1,000-1,999"
30-34,Man,United States of America,Master’s degree,Data Scientist,3-5 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Never,1-2 years,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","100,000-124,999"
30-34,Man,Bangladesh,Bachelor’s degree,Data Scientist,< 1 years,Python,Python,A personal computer / desktop,2-5 times,1-2 years,"Advanced statistical software (SPSS, SAS, etc.)","1,000-1,999"
30-34,Man,India,Master’s degree,Data Scientist,3-5 years,Python,Python,A laptop,Never,2-3 years,"Local development environments (RStudio, JupyterLab, etc.)","20,000-24,999"
30-34,Man,Brazil,Master’s degree,Data Scientist,3-5 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Never,2-3 years,"Local development environments (RStudio, JupyterLab, etc.)","20,000-24,999"
30-34,Man,India,Master’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Once,1-2 years,Other,"5,000-7,499"
30-34,Man,Israel,Master’s degree,Data Scientist,5-10 years,Python,Python,A laptop,Never,2-3 years,"Local development environments (RStudio, JupyterLab, etc.)","125,000-149,999"
30-34,Man,Colombia,Bachelor’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Never,Under 1 year,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","20,000-24,999"
30-34,Man,United States of America,Master’s degree,Data Scientist,10-20 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Never,5-10 years,"Local development environments (RStudio, JupyterLab, etc.)","200,000-249,999"
30-34,Man,India,Master’s degree,Data Scientist,1-3 years,Python,R,A laptop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","15,000-19,999"
30-34,Man,Australia,Master’s degree,Data Scientist,10-20 years,Python,Python,A laptop,Once,5-10 years,"Local development environments (RStudio, JupyterLab, etc.)","150,000-199,999"
30-34,Man,Australia,Bachelor’s degree,Data Scientist,3-5 years,Python,SQL,A laptop,Once,3-4 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","100,000-124,999"
30-34,Man,United States of America,Bachelor’s degree,Data Scientist,5-10 years,Python,Python,"A deep learning workstation (NVIDIA GTX, LambdaLabs, etc)",Never,5-10 years,"Local development environments (RStudio, JupyterLab, etc.)","200,000-249,999"
30-34,Man,United States of America,Master’s degree,Data Scientist,3-5 years,Python,Python,A laptop,Never,3-4 years,Other,"150,000-199,999"
30-34,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,1-3 years,Python,SQL,"A deep learning workstation (NVIDIA GTX, LambdaLabs, etc)",2-5 times,5-10 years,"Local development environments (RStudio, JupyterLab, etc.)","80,000-89,999"
30-34,Man,Canada,Doctoral degree,Data Scientist,5-10 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",6-25 times,3-4 years,"Local development environments (RStudio, JupyterLab, etc.)","70,000-79,999"
30-34,Man,Japan,Doctoral degree,Data Scientist,5-10 years,Python,Python,A laptop,2-5 times,1-2 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","5,000-7,499"
30-34,Man,India,Master’s degree,Data Scientist,5-10 years,Python,Python,A laptop,Once,5-10 years,"Local development environments (RStudio, JupyterLab, etc.)","20,000-24,999"
30-34,Man,United States of America,Bachelor’s degree,Data Scientist,5-10 years,Python,R,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Never,4-5 years,"Local development environments (RStudio, JupyterLab, etc.)","125,000-149,999"
30-34,Man,Nigeria,Master’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
30-34,Man,Switzerland,Master’s degree,Data Scientist,5-10 years,Python,Python,A laptop,More than 25 times,5-10 years,"Local development environments (RStudio, JupyterLab, etc.)","100,000-124,999"
30-34,Man,Germany,Master’s degree,Data Scientist,10-20 years,Python,Python,A laptop,2-5 times,2-3 years,"Local development environments (RStudio, JupyterLab, etc.)","80,000-89,999"
30-34,Man,United Arab Emirates,Doctoral degree,Data Scientist,5-10 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Never,2-3 years,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","90,000-99,999"
30-34,Man,India,Master’s degree,Data Scientist,5-10 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Never,5-10 years,"Local development environments (RStudio, JupyterLab, etc.)","15,000-19,999"
30-34,Man,Germany,Bachelor’s degree,Data Scientist,3-5 years,Python,Python,A laptop,Never,2-3 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","80,000-89,999"
30-34,Man,United States of America,Doctoral degree,Data Scientist,3-5 years,Python,Python,A laptop,Never,4-5 years,"Local development environments (RStudio, JupyterLab, etc.)","150,000-199,999"
30-34,Man,Brazil,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)","30,000-39,999"
30-34,Prefer not to say,Netherlands,Doctoral degree,Data Scientist,3-5 years,Python,Python,A personal computer / desktop,Never,4-5 years,"Local development environments (RStudio, JupyterLab, etc.)","70,000-79,999"
30-34,Man,India,Master’s degree,Data Scientist,1-3 years,Python,MATLAB,A laptop,Never,3-4 years,Other,"10,000-14,999"
30-34,Woman,Canada,Master’s degree,Data Scientist,5-10 years,Python,Python,A personal computer / desktop,Never,4-5 years,"Local development environments (RStudio, JupyterLab, etc.)","90,000-99,999"
30-34,Woman,Netherlands,Bachelor’s degree,Data Scientist,5-10 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Never,4-5 years,"Local development environments (RStudio, JupyterLab, etc.)","60,000-69,999"
30-34,Man,Brazil,Doctoral degree,Data Scientist,10-20 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Never,5-10 years,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","30,000-39,999"
30-34,Man,Netherlands,Master’s degree,Data Scientist,5-10 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Never,4-5 years,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","80,000-89,999"
30-34,Man,France,Master’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)","30,000-39,999"
30-34,Man,Poland,Bachelor’s degree,Data Scientist,5-10 years,Python,Python,A personal computer / desktop,Once,4-5 years,"Local development environments (RStudio, JupyterLab, etc.)","60,000-69,999"
30-34,Man,India,Master’s degree,Data Scientist,5-10 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Once,5-10 years,"Local development environments (RStudio, JupyterLab, etc.)","80,000-89,999"
30-34,Man,Ukraine,Master’s degree,Data Scientist,3-5 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Once,3-4 years,"Local development environments (RStudio, JupyterLab, etc.)","60,000-69,999"
30-34,Man,Other,Master’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Never,Under 1 year,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)","10,000-14,999"
30-34,Man,Kenya,Master’s degree,Data Scientist,< 1 years,Python,Python,A personal computer / desktop,2-5 times,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
30-34,Man,United States of America,Doctoral degree,Data Scientist,10-20 years,Python,Python,A laptop,Once,5-10 years,"Local development environments (RStudio, JupyterLab, etc.)","125,000-149,999"
30-34,Man,United States of America,Master’s degree,Data Scientist,3-5 years,Python,Python,A personal computer / desktop,2-5 times,1-2 years,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","80,000-89,999"
30-34,Man,Italy,Master’s degree,Data Scientist,10-20 years,Python,Python,A laptop,Never,4-5 years,"Local development environments (RStudio, JupyterLab, etc.)","25,000-29,999"
30-34,Man,Netherlands,Master’s degree,Data Scientist,5-10 years,Python,Python,A laptop,Never,4-5 years,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","70,000-79,999"
30-34,Man,Japan,Doctoral degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","40,000-49,999"
30-34,Man,United States of America,Master’s degree,Data Scientist,5-10 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",6-25 times,5-10 years,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","200,000-249,999"
30-34,Man,India,Master’s degree,Data Scientist,1-3 years,Python,Python,A laptop,2-5 times,1-2 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","2,000-2,999"
30-34,Man,Russia,Doctoral degree,Data Scientist,3-5 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",More than 25 times,4-5 years,"Local development environments (RStudio, JupyterLab, etc.)","25,000-29,999"
30-34,Man,Netherlands,Bachelor’s degree,Data Scientist,3-5 years,Python,Python,A laptop,Never,3-4 years,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","60,000-69,999"
30-34,Man,South Africa,Bachelor’s degree,Data Scientist,10-20 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",6-25 times,5-10 years,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)","80,000-89,999"
30-34,Prefer not to say,South Africa,Master’s degree,Data Scientist,5-10 years,Python,SQL,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Never,5-10 years,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","80,000-89,999"
30-34,Man,Other,Master’s degree,Data Scientist,3-5 years,Python,Python,A laptop,Never,2-3 years,"Local development environments (RStudio, JupyterLab, etc.)","30,000-39,999"
30-34,Man,Germany,Master’s degree,Data Scientist,1-3 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",More than 25 times,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","60,000-69,999"
30-34,Man,Brazil,Master’s degree,Data Scientist,10-20 years,Python,Python,A laptop,2-5 times,5-10 years,"Local development environments (RStudio, JupyterLab, etc.)","30,000-39,999"
30-34,Man,Germany,Master’s degree,Data Scientist,10-20 years,Python,Python,A laptop,Never,3-4 years,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
30-34,Man,United States of America,Master’s degree,Data Scientist,5-10 years,Python,Python,A laptop,Never,5-10 years,"Local development environments (RStudio, JupyterLab, etc.)","150,000-199,999"
30-34,Man,United States of America,Master’s degree,Data Scientist,5-10 years,Python,Python,A laptop,Never,5-10 years,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)","70,000-79,999"
30-34,Man,Austria,Doctoral degree,Data Scientist,5-10 years,Python,Python,"A deep learning workstation (NVIDIA GTX, LambdaLabs, etc)",2-5 times,4-5 years,"Advanced statistical software (SPSS, SAS, etc.)","10,000-14,999"
30-34,Man,Brazil,Master’s degree,Data Scientist,3-5 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",2-5 times,4-5 years,"Local development environments (RStudio, JupyterLab, etc.)","30,000-39,999"
30-34,Woman,India,Master’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Never,Under 1 year,Other,$0-999
30-34,Man,India,Master’s degree,Data Scientist,10-20 years,Python,C,A laptop,Never,3-4 years,"Local development environments (RStudio, JupyterLab, etc.)","60,000-69,999"
30-34,Man,Netherlands,Doctoral degree,Data Scientist,10-20 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",2-5 times,3-4 years,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","70,000-79,999"
30-34,Woman,Sweden,Doctoral degree,Data Scientist,5-10 years,Python,Python,A laptop,Never,4-5 years,"Local development environments (RStudio, JupyterLab, etc.)","60,000-69,999"
30-34,Man,Brazil,Master’s degree,Data Scientist,10-20 years,Python,Python,A laptop,Once,5-10 years,"Local development environments (RStudio, JupyterLab, etc.)","30,000-39,999"
30-34,Man,India,Master’s degree,Data Scientist,5-10 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Never,2-3 years,"Local development environments (RStudio, JupyterLab, etc.)","20,000-24,999"
30-34,Man,Japan,Master’s degree,Data Scientist,3-5 years,Python,Python,A personal computer / desktop,Never,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","70,000-79,999"
30-34,Man,Japan,Master’s degree,Data Scientist,3-5 years,Python,Python,A laptop,Never,4-5 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","50,000-59,999"
30-34,Man,United States of America,Master’s degree,Data Scientist,10-20 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",2-5 times,5-10 years,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","250,000-299,999"
30-34,Man,Pakistan,Bachelor’s degree,Data Scientist,3-5 years,Python,SQL,A laptop,2-5 times,4-5 years,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)","60,000-69,999"
30-34,Man,Poland,Master’s degree,Data Scientist,20+ years,Python,Python,"A deep learning workstation (NVIDIA GTX, LambdaLabs, etc)",Once,5-10 years,"Local development environments (RStudio, JupyterLab, etc.)","30,000-39,999"
30-34,Man,United States of America,Doctoral degree,Data Scientist,3-5 years,Python,Python,Other,Never,5-10 years,"Local development environments (RStudio, JupyterLab, etc.)","100,000-124,999"
30-34,Man,India,Master’s degree,Data Scientist,1-3 years,Python,Python,A laptop,2-5 times,2-3 years,"Local development environments (RStudio, JupyterLab, etc.)","10,000-14,999"
30-34,Man,Japan,Master’s degree,Data Scientist,1-3 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",More than 25 times,4-5 years,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","40,000-49,999"
30-34,Man,United States of America,Master’s degree,Data Scientist,5-10 years,Python,Python,A laptop,Once,5-10 years,"Local development environments (RStudio, JupyterLab, etc.)","125,000-149,999"
30-34,Woman,United States of America,Master’s degree,Data Scientist,5-10 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Never,4-5 years,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","100,000-124,999"
30-34,Man,Turkey,Master’s degree,Data Scientist,5-10 years,Python,R,A laptop,Never,4-5 years,"Local development environments (RStudio, JupyterLab, etc.)","50,000-59,999"
30-34,Man,India,Master’s degree,Data Scientist,5-10 years,Python,Python,A personal computer / desktop,More than 25 times,5-10 years,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","100,000-124,999"
30-34,Woman,Israel,Master’s degree,Data Scientist,5-10 years,Python,Python,A laptop,2-5 times,2-3 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","80,000-89,999"
30-34,Man,Singapore,Master’s degree,Data Scientist,5-10 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Once,5-10 years,"Local development environments (RStudio, JupyterLab, etc.)","125,000-149,999"
30-34,Man,Denmark,Doctoral degree,Data Scientist,10-20 years,Python,R,A laptop,6-25 times,5-10 years,"Local development environments (RStudio, JupyterLab, etc.)","100,000-124,999"
30-34,Man,China,Doctoral degree,Data Scientist,3-5 years,Python,MATLAB,A personal computer / desktop,2-5 times,2-3 years,"Advanced statistical software (SPSS, SAS, etc.)","20,000-24,999"
30-34,Man,Brazil,Bachelor’s degree,Data Scientist,5-10 years,Python,SQL,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Never,5-10 years,"Local development environments (RStudio, JupyterLab, etc.)","30,000-39,999"
30-34,Man,India,Master’s degree,Data Scientist,< 1 years,Python,Python,A personal computer / desktop,2-5 times,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
30-34,Man,Canada,Master’s degree,Data Scientist,5-10 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Never,5-10 years,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","100,000-124,999"
30-34,Woman,United States of America,Master’s degree,Data Scientist,< 1 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","90,000-99,999"
30-34,Man,Other,Doctoral degree,Data Scientist,3-5 years,Python,Python,A laptop,Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)","25,000-29,999"
30-34,Man,Kenya,Master’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Once,1-2 years,"Advanced statistical software (SPSS, SAS, etc.)","15,000-19,999"
30-34,Man,Brazil,Master’s degree,Data Scientist,3-5 years,Python,Python,A personal computer / desktop,Never,2-3 years,"Local development environments (RStudio, JupyterLab, etc.)","1,000-1,999"
30-34,Man,Colombia,Doctoral degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,2-3 years,"Local development environments (RStudio, JupyterLab, etc.)","30,000-39,999"
30-34,Man,United States of America,Master’s degree,Data Scientist,5-10 years,Python,SQL,"A deep learning workstation (NVIDIA GTX, LambdaLabs, etc)",2-5 times,4-5 years,"Local development environments (RStudio, JupyterLab, etc.)","100,000-124,999"
30-34,Woman,Nigeria,Master’s degree,Data Scientist,3-5 years,Python,Python,A laptop,Never,1-2 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
30-34,Woman,Sweden,Master’s degree,Data Scientist,10-20 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Once,4-5 years,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","60,000-69,999"
30-34,Man,China,Master’s degree,Data Scientist,5-10 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",More than 25 times,3-4 years,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","50,000-59,999"
30-34,Man,Viet Nam,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,2-3 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","20,000-24,999"
30-34,Man,China,Master’s degree,Data Scientist,1-3 years,Python,Python,A personal computer / desktop,Once,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","2,000-2,999"
30-34,Man,China,Master’s degree,Data Scientist,5-10 years,Python,Python,"A deep learning workstation (NVIDIA GTX, LambdaLabs, etc)",6-25 times,4-5 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","50,000-59,999"
35-39,Man,India,Master’s degree,Data Scientist,5-10 years,Python,Python,"A deep learning workstation (NVIDIA GTX, LambdaLabs, etc)",Never,10-20 years,"Local development environments (RStudio, JupyterLab, etc.)","30,000-39,999"
35-39,Man,Uganda,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,6-25 times,1-2 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","1,000-1,999"
35-39,Man,Singapore,Master’s degree,Data Scientist,3-5 years,Python,SQL,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Never,10-20 years,"Local development environments (RStudio, JupyterLab, etc.)","200,000-249,999"
35-39,Man,Brazil,Doctoral degree,Data Scientist,10-20 years,Python,R,A laptop,Never,5-10 years,"Local development environments (RStudio, JupyterLab, etc.)","20,000-24,999"
35-39,Man,United States of America,Doctoral degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,2-3 years,"Local development environments (RStudio, JupyterLab, etc.)","100,000-124,999"
35-39,Man,Turkey,Master’s degree,Data Scientist,3-5 years,Python,Python,A laptop,Once,2-3 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
35-39,Man,India,Bachelor’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
35-39,Woman,Other,Doctoral degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","15,000-19,999"
35-39,Man,United States of America,Doctoral degree,Data Scientist,20+ years,Python,Python,A laptop,Never,4-5 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","125,000-149,999"
35-39,Woman,Spain,Doctoral degree,Data Scientist,10-20 years,Python,Python,A laptop,Never,3-4 years,"Local development environments (RStudio, JupyterLab, etc.)","40,000-49,999"
35-39,Woman,United States of America,Master’s degree,Data Scientist,3-5 years,Python,Python,A laptop,Never,2-3 years,"Local development environments (RStudio, JupyterLab, etc.)","150,000-199,999"
35-39,Woman,United States of America,Doctoral degree,Data Scientist,3-5 years,Python,R,A laptop,Never,I do not use machine learning methods,"Local development environments (RStudio, JupyterLab, etc.)","125,000-149,999"
35-39,Woman,Other,Doctoral degree,Data Scientist,10-20 years,Python,Python,"A deep learning workstation (NVIDIA GTX, LambdaLabs, etc)",Once,3-4 years,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
35-39,Man,India,Master’s degree,Data Scientist,10-20 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",6-25 times,4-5 years,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","50,000-59,999"
35-39,Man,Other,Doctoral degree,Data Scientist,20+ years,Python,SQL,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Never,5-10 years,"Local development environments (RStudio, JupyterLab, etc.)","125,000-149,999"
35-39,Man,"Iran, Islamic Republic of...",Master’s degree,Data Scientist,1-3 years,Python,R,A laptop,Once,1-2 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","10,000-14,999"
35-39,Man,South Korea,Doctoral degree,Data Scientist,5-10 years,Python,R,A personal computer / desktop,2-5 times,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","50,000-59,999"
35-39,Man,Saudi Arabia,Doctoral degree,Data Scientist,10-20 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",More than 25 times,2-3 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","125,000-149,999"
35-39,Man,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,5-10 years,Python,Python,A laptop,Once,2-3 years,"Local development environments (RStudio, JupyterLab, etc.)","90,000-99,999"
35-39,Prefer not to say,India,Master’s degree,Data Scientist,10-20 years,Python,Python,A laptop,Never,5-10 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","100,000-124,999"
35-39,Man,South Africa,Doctoral degree,Data Scientist,3-5 years,Python,Python,A laptop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
35-39,Man,Other,Doctoral degree,Data Scientist,5-10 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Never,5-10 years,"Local development environments (RStudio, JupyterLab, etc.)","50,000-59,999"
35-39,Man,Nigeria,Doctoral degree,Data Scientist,5-10 years,Python,Python,A laptop,Never,Under 1 year,"Advanced statistical software (SPSS, SAS, etc.)","15,000-19,999"
35-39,Man,India,Master’s degree,Data Scientist,5-10 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Never,5-10 years,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)","20,000-24,999"
35-39,Man,India,Master’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Never,Under 1 year,Other,"15,000-19,999"
